user_id,anomaly_type
U0500,ip_hopper
U0455,ip_hopper
U0317,ip_hopper
U0010,ip_hopper
U0275,ip_hopper
U0379,ip_hopper
U0103,ip_hopper
U0419,ip_hopper
U0147,ip_hopper
U0475,ip_hopper
U0042,structuring
U0083,structuring
U0108,structuring
U0436,structuring
U0353,structuring
U0034,structuring
U0104,structuring
U0478,structuring
U0326,structuring
U0175,structuring
U0468,dormant_withdrawal
U0253,dormant_withdrawal
U0380,dormant_withdrawal
U0106,dormant_withdrawal
U0440,dormant_withdrawal
U0446,dormant_withdrawal
U0035,dormant_withdrawal
U0378,dormant_withdrawal
U0224,volume_spike
U0065,volume_spike
U0260,volume_spike
U0123,volume_spike
U0013,volume_spike
U0148,volume_spike
U0444,volume_spike
U0122,volume_spike
U0467,bot_session
U0161,bot_session
U0226,bot_session
U0374,bot_session
U0264,bot_session
U0133,bot_session
U0033,deposit_and_flee
U0242,deposit_and_flee
U0109,deposit_and_flee
U0045,deposit_and_flee
U0417,deposit_and_flee
U0370,deposit_and_flee
U0318,deposit_and_flee
U0335,deposit_and_flee
U0182,brute_force_login
U0366,brute_force_login
U0493,brute_force_login
U0015,brute_force_login
U0059,brute_force_login
U0314,brute_force_login
U0095,brute_force_login
U0441,brute_force_login
U0163,kyc_before_withdrawal
U0448,kyc_before_withdrawal
U0151,kyc_before_withdrawal
U0002,kyc_before_withdrawal
U0256,kyc_before_withdrawal
U0130,kyc_before_withdrawal
U0195,kyc_before_withdrawal
U0025,latency_arbitrage
U0476,latency_arbitrage
U0036,latency_arbitrage
U0057,latency_arbitrage
U0039,latency_arbitrage
U0351,latency_arbitrage
U0359,latency_arbitrage
U0291,device_mismatch
U0231,device_mismatch
U0208,device_mismatch
U0082,device_mismatch
U0024,device_mismatch
U0344,device_mismatch
U0069,device_mismatch
U0420,device_mismatch
U0373,collusion_ring
U0200,collusion_ring
U0452,collusion_ring
U0352,collusion_ring
U0365,collusion_ring
U0019,collusion_ring
U0056,collusion_ring
U0431,collusion_ring
U0307,collusion_ring
U0139,collusion_ring
U0105,collusion_ring
U0398,collusion_ring
U0474,collusion_ring
U0245,collusion_ring
U0362,collusion_ring
U0388,ip_hub
U0418,ip_hub
U0084,ip_hub
U0027,ip_hub
U0497,ip_hub
U0171,ip_hub
U0263,ip_hub
U0288,ip_hub
U0375,ip_hub
U0234,ip_hub
U0216,ip_hub
U0143,ip_hub
U0220,ip_hub
U0031,ip_hub
U0209,ip_hub
U0457,ip_hub
U0218,ip_hub
U0180,ip_hub
U0338,ip_hub
U0145,ip_hub
U0299,concept_drift
U0136,concept_drift
U0207,concept_drift
U0364,concept_drift
U0232,concept_drift
U0312,concept_drift
U0062,concept_drift
U0337,concept_drift
U0078,concept_drift
U0162,concept_drift
U0395,concept_drift
U0230,concept_drift
U0098,concept_drift
U0324,concept_drift
U0116,concept_drift
U0396,concept_drift
U0357,concept_drift
U0214,concept_drift
U0482,concept_drift
U0397,concept_drift
